claim,canonical_script,shared_functions,raw_input,generated_output,test,readme_location,paper_location,status,classification
"CHEDY→QOK is elevated within lines","scripts/01_core_analysis.py","load_corpus; build_class_sequences; transitions","data/raw/voynich/AncientLanguages_Voynich_snapshot/train.parquet","results/core_analysis_results.json","TestTransitionRules","README Core retained result","docs/main.tex:57; docs/main.tex:468-490","Retained descriptively; cluster-aware matrix inference still open","confirmatory point estimate; inference narrowed"
"AIIN→QOK is suppressed within lines","scripts/01_core_analysis.py","load_corpus; build_class_sequences; transitions","data/raw/voynich/AncientLanguages_Voynich_snapshot/train.parquet","TestTransitionRules","README Core retained result","docs/main.tex:57","Retained descriptively; cluster-aware matrix inference still open","confirmatory point estimate; inference narrowed"
"CHEDY effect is distributed across token pairs","scripts/01_core_analysis.py","classify_all; line records","Voynich parquet","results/core_analysis_results.json","TestTransitionRules::test_unique_chedy_qok_pairs","README Provisional","docs/main.tex:483-490","Recomputed at 312 unique within-line canonical pairs","exploratory"
"Raw aiin/ain substring density is similar across Currier A/B","scripts/01_core_analysis.py","load_corpus; is_aiin","Voynich parquet","results/core_analysis_results.json","TestAIINDensityDecomposition","README AIIN decomposition","docs/main.tex:63","Descriptive similarity only; equivalence not tested","narrowed"
"Canonical AIIN family density is invariant","scripts/01_core_analysis.py","classify","Voynich parquet","results/core_analysis_results.json","TestAIINDensityDecomposition::test_canonical_family_density_differs","README AIIN decomposition","docs/main.tex:63; docs/main.tex:905","Rejected","retired"
"Voynich has elevated prefix and suffix self-clustering under the Version 2 estimator","scripts/10_prefix_suffix_analysis.py","sequence_units; bootstrap_groups_to_target; sample_units_to_target; affix_clustering_sensitivity_scores","Frozen Voynich parquet plus declared comparator files","results/prefix_suffix_v2.json; results/prefix_suffix_v2.csv; results/prefix_suffix_v2.md; results/prefix_suffix_v2.svg","TestPrefixSuffixEstimatorRecord; TestBoundaryAwareAffixUtilities","README Version 2 prefix/suffix comparison","docs/main.tex:566-648","Supported for the frozen tested corpus set: median prefix 1.333, suffix 1.458; OTHER sensitivity reported; no language-identity inference","confirmatory estimator result; scope narrowed"
"Voynich is perfectly symmetric at ratio 0.99","scripts/10_prefix_suffix_analysis.py","Local estimator","Voynich plus comparators","results/prefix_suffix_analysis_generated.json","TestPrefixSuffixEstimatorRecord","README Retired claims","docs/main.tex:68; docs/main.tex:603","Rejected; July ratio 0.852","retired"
"Voynich is uniquely SYMM-HIGH among natural languages","scripts/10_prefix_suffix_analysis.py","Shared boundary and affix utilities","Frozen comparator set","results/prefix_suffix_v2.json","TestPrefixSuffixEstimatorRecord; TestGeneratedRepairArtifacts","README Retired or unsupported claims","docs/main.tex:593","Rejected as phrased. Version 2 finds higher continuous minimum-side score than 14 eligible comparators, with one declared comparator ineligible; inference cannot extend beyond the exact tested set and method","retired broad claim; narrowed finite-set result"
"Multi-feature agreement compounds 5–9x","scripts/11_multifeature_permutation.py","load_corpus; classify","Voynich parquet","results/multifeature_permutation_results.json","TestGeneratedRepairArtifacts::test_permutation_result_supersedes_multiplied_marginals","README Retired claims","docs/main.tex:75; docs/main.tex:996","Rejected; corrected descriptive range 1.53–4.27x","retired and narrowed"
"All five cascades survive FDR","scripts/07_cascade_uncertainty.py","Upstream counts","results/archive/pre-v2/extended_analysis_results.json","results/cascade_uncertainty_results.json","TestCascadeUncertainty","README Retired claims","docs/main.tex:75","Rejected; July method reports four of five; cluster inference open","retired"
"One constructed system satisfies all seven exact MVE criteria","scripts/09_constructed_control.py; scripts/14_adversarial_control.py","Duplicated control estimators","Generated corpora","results/archive/pre-v2/constructed_control_results.json; results/adversarial_control_results.json","None as a joint seven-item claim","README Retired claims","docs/main.tex:91-92; docs/main.tex:1130-1131","Not demonstrated; different systems test different subsets and item 7 threshold was relaxed","retired"
"Findings survive real non-EVA paleographic alphabets","scripts/15_boundary_validation.py","load_corpus","Voynich parquet plus synthetic recodings","results/boundary_validation_results.json","None","README Open blockers","docs/main.tex:1161-1166","Not tested","open"
"Section-specific transition structure exists","scripts/19_section_effect_null.py","load_corpus; sample_two_disjoint_contiguous_blocks","Voynich parquet","results/section_effect_null_results.json","Block-sampler unit test","README Retired claims","Not integrated consistently","Retired; seam-fixed result pending regeneration","retired"
"Currier A/B is the only surviving structural partition","scripts/20_language_effect_null.py","load_corpus; sample_two_disjoint_contiguous_blocks","Voynich parquet","results/language_effect_null_results.json","Block-sampler unit test","README Provisional findings","Not integrated consistently","Provisional; seam, multiplicity, overlap, and confounding require rerun/modeling","exploratory"
